id,abbreviation,local_abbreviation,title,local_title,language__iso_639_1,language__name,language__local_name,taxonomy,benchmark
1820,JC,口語訳,"The Bible, Colloquial Japanese",Japanese: 聖書　口語訳,ja,Japanese,日本語,5,1
3802,JERV,ERV訳,ERV Translation ー Easy-to-Read Bible ー,ERV 訳 ー 読みやすい聖書 ー,ja,Japanese,日本語,5,
4016,JCV,口語訳,Japanese Colloquial Version,聖書 口語訳,ja,Japanese,日本語,5,1
248,JAV,JAV,Javanese Bible,Kitab Sutji,jv,Javanese,Basa Jawa,1,
490,QUICH1,QUICH1,Quiché Bible,Quiché Bible,,K'iche',K'iche',,
348,JCLB,JCLB,Jinghpaw Common Language Bible 2009,Jinghpaw Common Language Bible 2009,,Kachin,Jingpho,0,
2647,JHVT3,JHVT3,Jinghpaw Hanson Version Bible,Jinghpaw Hanson Version Bible,,Kachin,Jingpho,0,
172,TDVR,BDK,Today's Dusun Version (Bible),Buuk Do Kinorohingan,,Kadazan Dusun,Boros Dusun,,
2927,BUKUIT,BUKUIT,OLD KALENJIN BIBLE,BUKUIT NE TILIL,,Kalenjin,Kalenjin,0,1
3544,kbq,KBQ,Kamano-Kafe Bible [kbq],Anumzamofo Routage Avantafere,,Kamano,Kamano,0,1
2772,Mbivlia,Mbivlia,OLD KAMBA BIBLE,Mbivilia,,Kamba (Kenya),Kamba (Kenya),0,1
1684,KANJV-BSI,KANJV-BSI,Kannada Jevoha Version Bible (BSI),ಕನ್ನಡ ಸತ್ಯವೇದವು J.V. (BSI),kn,Kannada,ಕನ್ನಡ,1,
1898,IRVKan,IRVKan,Indian Revised Version (IRV) Kannada - 2019,ಇಂಡಿಯನ್ ರಿವೈಜ್ಡ್ ವರ್ಸನ್ (IRV) - ಕನ್ನಡ - 2019,kn,Kannada,ಕನ್ನಡ,1,
3152,KERV,KERV,Holy Bible: Easy-to-Read Version,ಪರಿಶುದ್ದ ಬೈಬಲ್‌,kn,Kannada,ಕನ್ನಡ,1,
3259,KCV,KSB,Kannada Contemporary Version 2022,ಕನ್ನಡ ಸಮಕಾಲಿಕ ಅನುವಾದ,kn,Kannada,ಕನ್ನಡ,1,1
2469,KSWM,KSWM,Sgaw Mason Bible,Sgaw Mason Bible,,"Karen, S’gaw (S'gaw Karen)",ကညီကျိာ်,0,
2480,pwokyn2,pwokyn2,Pwo Kayin Bible,Pwo Kayin Bible,,"Karen, Western Pwo (Karen script)",Pwo Western Karen,0,
4085,TDK1990,TDK1990,Today's Dahun Kayan Bible 1990,SURAT TUHAN Dahun Kayan 1990,,"Kayan, Baram","Kayan, Baram",0,
628,kek,kek,The Holy Word,Li Santil hu,,Kekchí,Kekchí,0,1
1450,ify,ify,"Kalaha, Keley-i Whole Bible",Keley-i Bible (Antipolo Ifugao),,Keley-I Kallahan,Antipolo Ifugao,,
3486,KNTOT,KNTOT,Ketengban Bible NT OTX,"Allah Upu: Allahdi Pumun Taru pe, Ukupu Taru pe, Pediramseu Upu",,Ketengban,Ketengban,0,
2663,KHB,KHB,KHASI HOLY BIBLE (OV),KA BAIBL,,Khasi,Khasi,0,1
1058,KHIABSI,KHIABSI,Khiamnuingan Naga C.L. Bible (BSI),ASIO THSAMLAI C.L. Bible (BSI),,Khiamniungan Naga,Khiamniungan Naga,,
1270,KHB54,ពគប,"Khmer Old Version 1954, 1962",ព្រះគម្ពីរបរិសុទ្ធ ១៩៥៤,km,Khmer,ភាសាខ្មែរ,1,1
2926,OGKBIBLE,OGKBIBLE,OLD GIKUYU BIBLE,IBUKU RĨRĨA ITHERU RĨA NGAI,ki,Kikuyu,Gĩkũyũ (Gikuyu),1,1
2062,PNGKIR,PNGKIR,Kiriwina Bible,Buki Pilabumaboma,,Kilivila,Kilivila,0,
2669,KMB80,KMB80,Holy Bible in Kimbundu,O Mikanda Ikola,,Kimbundu,Kimbundu,,
1833,KB80,KB80,The Bible in Kinandi,AMASAKO ABOYTRTRE WA NYAMUHANGA AWAKAHULAWA MO BIBLIA,,Kinandi (Ndandi) ,Ndandi,0,1
86,KLB,KLB,Korean Living Bible 1985,현대인의 성경,ko,Korean,한국어,4,
88,KRV,KRV,Korean Revised Version,개역한글,ko,Korean,한국어,4,1
142,RNKSV,RNKSV,Revised New Korean Standard Version,새번역,ko,Korean,한국어,4,1
3803,KOERV,KOERV,Holy Bible: Easy-to-Read Translation,읽기 쉬운 성경,ko,Korean,한국어,4,1
4639,WB,WB,Woorimal Bible 5th Edition,Woorimal Bible 5th Edition,ko,Korean,한국어,4,1
3004,kos,KOS,Kosraean Bible,BIBLE MUTAL,,Kosraean,Kosraean,0,1
251,KURNT,KURNT,Kurdish New Testament and Psalms +,Kurmanji Încîl,ku,Kurmanji Kurdish,Kurmancî,0,1
4235,KWN,KWN,The Bible in Rukwangili 1987 (Namibia),The Bible in Rukwangili 1987 (Namibia),,Kwangali,ruKwangali,0,
91,LHBE,LHBE,Lahu Bible Edited,Lahu Bible Edited,,Lahu,Lahu,0,
947,LMB,AAL59,Lamba Bible version 1959,Amashiwi Aba Lesa,,Lamba,Ichilamba,0,1
4580,Banjara,Lambadi,Banjara/Lambadi/Gorboli Bible (Telugu Script),పవిత్తర్ బైబిల్ (బంజారా/లంబాడి/గోర్బోలి),,Lambadi,Lambadi,,
1974,Lango,Lango,Lango Bible 1978,BUK OBAŊA ACIL AME OLWOŊO NI BAIBUL AME OGEO LOKO I LEB LAŊO,,Lango (Uganda),Lango,0,1
1727,RLV15,ພຄພ,Revised Lao Version 2015,ພຣະຄຳພີສັກສິ,lo,Lao,ລາວ,2,
2442,lef,lef,"The Bible in the Lɛlɛmi language, Ghana, West Africa",Katɔti Ɔku Kedee,,Lelemi,Lelemi,0,
1476,ENHL,ENHL,Enhlit Bible,Enhlit Bible,,Lengua Norte (Paraguay),Enhlit (Enhlet),,
2794,LRB,LRB,Lisu Revised Bible,Lisu Revised Bible,,Lisu,Lisu,0,
321,KBV,KBV,Biblija. Senasis Testamentas. Naujasis Testamentas,Biblija. Senasis Testamentas. Naujasis Testamentas,lt,Lithuanian,Lietuvių,3,1
2919,TSH,TSH,Bible in Tshiluba 2003,Mukanda wa Nzambi Dihungila Dikulukulu ne Dihungila Dihia-dihia 2003,,Luba-Lulua,Tshiluba,0,1
2970,LB66,LB66,Bible in Lugbara,E’yo Siza Alatararu Munguniri BIBLIA,,Lugbara,Lugbara,0,1
2887,MBE,MBE,OLD MARAGOLI BIBLE,KITABU KITAKATIFU,,Lulogooli,Lulogooli,,
3072,TLBV,BLD,Today's Lun Bawang Version,BALA LUK DO',,Lun Bawang,Lun Bawang,,
3090,LUN62,MW62,Lunda-Ndembu Bible Version 1962,MUKANDA WANZAMBI,,Lunda,Lunda,0,1
3305,LNB04,MWW04,The Holy Bible in Lunda Ndembu,Mukanda Wajila Wanzambi,,Lunda,Lunda,0,1
253,MIZOVBSI,MIZOVBSI,Mizo OV (Re-edited) Bible (BSI),THUTHLUNG HLUI (Re-edited) Bible (BSI),,Lushai,Mizo ṭawng,0,
1048,MIZCLBSI,MIZCLBSI,Mizo (Lushai) C.L. Bible (BSI),Common Language,,Lushai,Mizo ṭawng,0,1
2677,LUE70,LUE70,Luvale Bible 1970,Luvale Bible 1970,,Luvale,Luvale,0,1
3043,MAS2,MAS2,Holy Bible in Kimashami,BIBILLYA Mareiyo Meele a Iruva,,Machame,Machame,0,1
4071,MOF89,MOF89,Bible Mofa 1989,Ma Zhiklè,,Mafa,Mafa,,
2871,MAK,MAK,Old and New Testament in Today's Makassar Version,KITTA' MATANGKASA',,Makasar,Makasar,0,
3013,VMK2021,VMK2021,Makhua Shirima Bible,Emakhuwa Bible,,Makhuwa-Shirima,Makua,,
2271,AVB,AVB,Alkitab Versi Borneo,Alkitab Versi Borneo,ms,Malay,Bahasa Melayu,3,1
1693,MALOVBSI,MALOVBSI,Malayalam OV Bible (BSI),സത്യവേദപുസ്തകം OV Bible (BSI),ml,Malayalam,മലയാളം,1,1
1912,IRVMAL,IRVMAL,Indian Revised Version (IRV) Malayalam - 2025,ഇന്ത്യൻ റിവൈസ്ഡ് വേർഷൻ (IRV) - മലയാളം,ml,Malayalam,മലയാളം,1,1
2333,MAL10RO,വേദപുസ്തകം,Malayalam Sathyavedapusthakam 1910 Edition (Revised Orthography),മലയാളം സത്യവേദപുസ്തകം 1910 പതിപ്പ് (പരിഷ്കരിച്ച ലിപിയിൽ),ml,Malayalam,മലയാളം,1,1
2431,MCV,MCV,Malayalam Contemporary Version 2020,സമകാലിക മലയാളവിവർത്തനം,ml,Malayalam,മലയാളം,1,
491,MAMH,MAMH,Mam de Huehuetenango Bible,Mam de Huehuetenango Bible,,Mam,Mam,0,
2278,MAMNO,MAMNO,Mam Huehuetenango New Ortography,Mam de Huehuetenango nueva ortografía,,Mam,Mam,0,
1702,BIB1819,BIB1819,"Yn Vible Casherick 1775, 1819 (Manx Bible) corrected edition","Yn Vible Casherick 1775, 1819",gv,Manx Gaelic,Gaelg,1,
94,MRI1952,MRI1952,Maori Bible 1952,Te Paipera Tapu 1952,mi,Maori,Māori,1,1
3363,MRI2012,MRI2012,Maori Bible 2012,Paipera Tapu 2012,mi,Maori,Māori,1,1
3662,MARVBSI,MARVBSI,Mara Bible RV (BSI),Mara Bible RV (BSI),,Mara,Mara,0,1
1686,MARVBSI,MARVBSI,Marathi RV (Re-edited) Bible (BSI),पवित्र शास्त्र RV (Re-edited) Bible (BSI),mr,Marathi,मराठी,2,
1910,IRVMar,IRVMar,Indian Revised Version (IRV) - Marathi,इंडियन रीवाइज्ड वर्जन (IRV) - मराठी,mr,Marathi,मराठी,2,1
3260,MRCV,MRCV,"Holy Bible, Marathi Contemporary Version","पवित्रशास्त्र, मराठी समकालीन आवृत्ती",mr,Marathi,मराठी,2,1
265,qvm,qvmB,Quechua Margos-Yarowilca-Lauricocha Bible,Tayta Diospa Wilakuynin,,Margos-Yarowilca-Lauricocha Quechua,Quechua Margos-Yarowilca-Lauricocha,1,
3436,MWV,MWV,Old and New Testament in Today's Mentawai Version,BUKO SIPUNENAN,,Mentawai,Mentawai,0,1
2130,QUETZMIXE,QUETZMIXE,La Biblia en idioma mixe de Quetzaltepec,Biblia Mixe de Quetzaltepec,,Mixe: Quezaltepec,Mixe: Quezaltepec,0,
3097,KIM2,KIM2,Kimochi Bible,Bibilia Kui Mdedie fo Kimochi,,Mochi,Mochi,,
921,FPB,FPB,Filos Pergamos,H Αγία Γραφή στη Δημοτική (Filos Pergamos),el,Modern Greek,Ελληνικά,3,1
2917,LOL87,LOL87,Lomongo Bible 1987,BONKANDA WA NZAKOMBA,,Mongo,Mongo-Nkundu,0,1
369,MAB2004,АБ2004,"Mongolian Ariun Bible, 2004 Edition","Ариун Библи, 2004",mn,Mongolian,Монгол,1,1
1590,AB2013,АБ2013,Ariun Bible 2013,Ариун Библи 2013,mn,Mongolian,Монгол,1,1
3813,XMZ,XMZ,The Bible in Mori Language,Wunta Mempori,,Mori Bawah,Mori Bawah,,
386,JBMLE,JBMLE,Judson Bible,Judson Bible,my,Myanmar Burmese (Unicode),မြန်မာယူနီကုတ်,1,
1391,MSBU,MSBU,Myanmar Standard Bible (Unicode),မြန်​​​မာ့​​​စံ​​​မီ​​​သမ္မာ​​​ကျမ်း​​,my,Myanmar Burmese (Unicode),မြန်မာယူနီကုတ်,1,
2397,GHB,GHB,Garrad Bible,Garrad Bible,my,Myanmar Burmese (Unicode),မြန်မာယူနီကုတ်,1,
1459,MSBZ,MSBZ,Myanmar Standard Bible (Zawgyi),ျမန္​မာ့​စံ​မီ​သမၼာ​က်မ္,my,Myanmar Burmese (Zawgyi),ျမန္မာေဇာ္ဂ်ီ,1,
2760,JBZV,JBZV,Judson Bible in Zawgyi Version,Judson Bible in Zawgyi Version,my,Myanmar Burmese (Zawgyi),ျမန္မာေဇာ္ဂ်ီ,1,
3438,MYE,MYE,Myene Bible 1927,Bibili 1927 (Omyene),,Myene,Ômyèṉè,,
4486,NorthZeme,NorthernZeme,Northern Zeme Bible,Northern Zeme Bible,,"Naga, Mzieme","Naga, Mzieme",0,1
2671,NERV,NERV,Holy Bible: Easy-to-Read Version,पवित्र बाइबल,ne,Nepali,नेपाली,1,
3261,NCV,NCV,"Holy Bible, Nepali Contemporary Version","पवित्र बाइबल, नेपाली समकालीन संस्करण",ne,Nepali,नेपाली,1,1
2879,NIJ,NIJ,Old and New Testament in Today's Dayak Ngaju Version,SURAT BARASIH BARITA BAHALAP,,Ngaju,Ngaju,,
2881,NLK,NLK,The Old and New Testament in Today's South Yali Version,ALLAH WENE FANO WENE,,Ninia Yali,Ninia Yali,,
1486,NIVA,NIVA,Nivaclé Bible,Nivaclé Bible,,Nivaclé (Paraguay),Niwaklé,0,
943,gaw,NB,Nobonob Bible,Nobonob Baibel,,Nobonob,Nobonob,,
4087,BE1978,BE1978,Ndebele Bible (iBhayibhili Elingcwele) 1978,iBhayibhili Elingcwele 1978,nd,North Ndebele,isiNdebele (Zimbabwe),0,1
268,qxn,qxn,Bible in North Conchucos Quechua,Biblia en Quechua del norte de Conchucos,,Northern Conchucos Ancash Quechua,Huaylay,1,
29,Bibel2011,Bibel2011,Bibel2011 - Bibelselskapet,Bibel2011 - Bibelselskapet,no,Norwegian Bokmål,Norsk: bokmål,1,
30,Bibel1978,Bibel1978,Bibel1978/1985 - Bibelselskapet,Bibel1978/1985 - Bibelselskapet,no,Norwegian Bokmål,Norsk: bokmål,1,
102,NB,NB,Norsk Bibel 88/07,Norsk Bibel 88/07,no,Norwegian Bokmål,Norsk: bokmål,1,
121,Bibel1930,Bibel1930,Bibel 1930 - Bibelselskapet,Bibel 1930 - Bibelselskapet,no,Norwegian Bokmål,Norsk: bokmål,1,1
2216,BGO,BGO,Bibelen – Guds Ord 2017,Bibelen – Guds Ord 2017,no,Norwegian Bokmål,Norsk: bokmål,1,1
2321,BGO,BGO_Hver,Bibelen - Guds Ord Hverdagsbibelen (Hermon Forlag),Bibelen - Guds Ord Hverdagsbibelen (Hermon Forlag),no,Norwegian Bokmål,Norsk: bokmål,1,
119,Bibel2011,Bibel2011,Bibel 2011 - Bibelselskapet,Bibel 2011 - Bibelselskapet,nn,Norwegian Nynorsk,Norsk: nynorsk,1,
120,Bibel1978,Bibel1978,Bibel 1978/1985 - Bibelselskapet,Bibel 1978/1985 - Bibelselskapet,nn,Norwegian Nynorsk,Norsk: nynorsk,1,
2399,NYB96,NYB96,Nyakyusa Bible 1996,Biblia Umwikemo 1996,,Nyakyusa-Ngonde,Nyakyusa-Ngonde,,
4049,NGD,NNBII,Ngonde Old Bible,BAIBULO INONGWA INUNU,,Nyakyusa-Ngonde,Nyakyusa-Ngonde,,
3231,CHBV81,WWN82,Chinamwaga Bible Version 1981,WAKALATA WANO WALI,,Nyamwanga,Chinamwanga,,
1618,CCL,CCL,The Word of God in Contemporary Chichewa,Mawu a Mulungu mu Chichewa Chalero,ny,Nyanja,Chichewa,1,1
1434,B64,RR64,The Bible in Runyankore-Rukiga,Baibuli Erikwera,,Nyankole,Nyankole,0,1
2515,BRR64,BRR64,Bible in Runyoro-Rutooro 1964 Version,Bible in Runyoro-Rutooro 1964 Version,,Nyoro,Nyoro,0,1
1587,Obolo,Obolo,The Obolo Bible,Ikpa Mbuban,,Obolo,Obolo,0,1
1749,ODIAOV-BSI,ODIAOV-BSI,Odia Old Version (Re-edited) - (BSI),ପବିତ୍ର ବାଇବଲ (Re-edited) - (BSI),,Oriya,Odia,1,1
1886,oryirv,ORYIRV,Oria Indian Revised Version Bible,ଓଡିଆ ବାଇବେଲ,,Oriya,Odia,1,1
3804,OERV,OERV,Holy Bible: Easy-to-Read Version,ପବିତ୍ର ବାଇବଲ,,Oriya,Odia,1,
3497,AOBT,KitWoy,Arsi Oromo Bible,Kitaaba Woyyuu,,"Oromo, Arsi",Arsi Oromo,1,
1870,PAITBSI,PAITBSI,Paite OV (Re-edited) Bible (BSI),Pathian Laisiangthou (BSI),,Paite Chin,Paite,,
3480,pce,pce,"Palaung, Ruching Bible",บับ เฌาพรา อี บรีม บอ อี กามาย - รูจีง ดาอาง,,"Palaung, Ruching","Palaung, Ruching",0,
3654,pce,pce,PCE Bible Mymr,"Palaung, Ruching Bible",,"Palaung, Ruching","Palaung, Ruching",0,
3437,LAIPMF,LAIPMF,Pamona Bible Language,Sura Magali Nuntu Ngkatuwu,,Pamona,Pamona,0,
1687,PUNOVBSI,PUNOVBSI,Punjabi Old Version Bible (BSI),ਪਵਿੱਤਰ ਬਾਈਬਲ O.V. Bible (BSI),pa,Panjabi,ਪੰਜਾਬੀ,2,
1884,IRVPun,IRVPun,Indian Revised Version (IRV) Punjabi - 2019,ਇੰਡਿਅਨ ਰਿਵਾਇਜ਼ਡ ਵਰਜ਼ਨ (IRV) - ਪੰਜਾਬੀ,pa,Panjabi,ਪੰਜਾਬੀ,2,1
3467,PCV,PCB,Punjabi Contemporary Version 2025,ਪੰਜਾਬੀ ਮੌਜੂਦਾ ਤਰਜਮਾ,pa,Panjabi,ਪੰਜਾਬੀ,2,1
3805,PERV,PERV,Holy Bible: Easy-to-Read Version,ਪਵਿੱਤਰ ਬਾਈਬਲ,pa,Panjabi,ਪੰਜਾਬੀ,2,
818,PB13,BPK13,Papiamentu Bible 2013,Papiamentu Bible 2013,,Papiamento,Papiamentu,1,
1455,pdcB,pdcB,Bible,Pennsylvania Dutch Bible,,Pennsylvania German,Pennsilfaanisch Deitsch,1,1
1050,PHOMBSI,PHOMBSI,Phom Naga Bible (BSI),DAÜLANGPÜ  LAIHING (BSI),,Phom Naga,Phom Naga,,
3001,PON2006,PON2006,Pohnpeian Bible,Pohnpeian Bible,,Pohnpeian,Pohnpeian,0,
132,PBG,PBG,Biblia Gdańska,Biblia Gdańska,pl,Polish,Polski,4,
138,polUBG,UBG,Updated Gdansk Bible,UWSPÓŁCZEŚNIONA BIBLIA GDAŃSKA,pl,Polish,Polski,4,1
495,POK,POK,Pokomchi Bible,Pokomchi Bible,,Poqomchi',Poqomchi',0,1
129,NVI,NVI,Nova Versão Internacional - Português,Nova Versão Internacional - Português,pt,Portuguese (Brazil),Português (Brasil),4,1
200,VFL,VFL,Holy Bible: Easy-to-Read Translation,Bíblia Sagrada: Versão Fácil de Ler,pt,Portuguese (Brazil),Português (Brasil),4,
211,NTLH,NTLH,New Translation on Todays Language,Nova Tradução na Linguagem de Hoje,pt,Portuguese (Brazil),Português (Brasil),4,
212,ARC,ARC,Almeida Revista e Corrigida,Almeida Revista e Corrigida,pt,Portuguese (Brazil),Português (Brasil),4,1
277,TB,TB,Tradução Brasileira,Tradução Brasileira,pt,Portuguese (Brazil),Português (Brasil),4,1
1608,ARA,ARA,Almeida Revised and Updated,Almeida Revista e Atualizada,pt,Portuguese (Brazil),Português (Brasil),4,1
1840,NAA,NAA,New Almeida Updated,Nova Almeida Atualizada,pt,Portuguese (Brazil),Português (Brasil),4,1
1930,NVT,NVT,"Bíblia Sagrada, Nova Versão Transformadora","Bíblia Sagrada, Nova Versão Transformadora",pt,Portuguese (Brazil),Português (Brasil),4,1
1966,NBV-P,NBV-P,Brazilian Portuguese: New Living Bible,Nova Bíblia Viva Português,pt,Portuguese (Brazil),Português (Brasil),4,1
2645,A21,A21,Almeida 21 Bible Portuguese BR language,Biblia Almeida Século 21,pt,Portuguese (Brazil),Português (Brasil),4,1
4360,ptNVI,NVI,Nova Versão Internacional 2011 (Brazilian Portuguese NVI),Nova Versão Internacional 2011,pt,Portuguese (Brazil),Português (Brasil),4,1
215,ARC,ARC,"Translation of João Ferreira de Almeida, Revised and corrected (Portugal)",Almeida Revista e Corrigida (Portugal),pt,Portuguese (Portugal),Português (Portugal) ,4,1
1049,POUMBSI,POUMBSI,Poumai Naga Bible (BSI),SHEEYU BAIBEL (BSI),,Poumei Naga,Poumai Naga,,
1736,NPKTH,NPKTH,Northern Pwo Karen Thai Bible,Northern Pwo Karen Thai Bible,,Pwo Northern Karen,"Karen, Northern Pwo (Thai Script)",,
493,BK98,ATBYK89,Kanjobal Bible 1989,A Txꞌan Biblia Yin Kꞌanjobal 1989,,Q'anjob'al,Q'anjob'al,0,
1059,BRUBSI,BRUBSI,Bru Bible (BSI),BAIBEL KTHAR (BSI),,Riang (India),Riang (India),,
2605,ROMBALTR,ROMBALTR,Baltic Romani Bible 2019 in Roman scrpt,Biblija - Pe Baltitko Romani čib (Romanes) 2019,,Romani: Baltic,Romani: Baltic,1,1
2606,ROMBALT,ROMBALT,Baltic Romani Bible 2019 in Cyrillic script,Библия - Пэ Балтитко Романи чиб (Романэс) 2019,,Romani: Baltic,Romani: Baltic,1,1
3114,KALD2020,KALD2020,Kalderash Romani Cornilescu Bible 2020 (Romania),E Romaii Biblia 2020 (Kăldărărihko),,Romani: Kalderash,Romani: Kalderaš/căldărari,1,1
3370,BER,BACHRO,Biblia en Romané,Biblia ande chib Romani,,Romani: Ursari,Romani: Ursari,1,1
126,NTR,NTR,New Romanian Translation 2021,Noua Traducere Românească,ro,Romanian,Română,3,1
191,BDC,VDC,Romanian Cornilescu 1924 Reference Bible,"Biblia sau Sfânta Scriptură cu Trimiteri 1924, Dumitru Cornilescu",ro,Romanian,Română,3,1
903,BTF2015,BTF2015,Biblia Traducerea Fidela 2015,Biblia Traducerea Fidela 2015,ro,Romanian,Română,3,1
1454,BVA,BVA,Biblia în Versiune Actualizată 2018,Biblia în Versiune Actualizată 2018,ro,Romanian,Română,3,1
1466,BIV2014,BIV2014,Biblia în versuri 2014,Biblia în versuri 2014,ro,Romanian,Română,3,1
1996,VDCL,VDCL,Romanian Cornilescu literal translation 1931,Traducere Literală Cornilescu 1931,ro,Romanian,Română,3,1
2072,BDCC,БДК,Romanian Cornilescu Reference Bible 1924 in Cyrillic script (Moldova),Библия Думитру Корнилеску 1924,ro,Romanian,Română,3,1
3914,EDC100,EDC100,Cornilescu Centenary Edition 2024,Biblia Dumitru Cornilescu 2024,ro,Romanian,Română,3,1
1874,RONGBSI,RONGBSI,Rongmei Naga (Revised) Bible (BSI),NTHANMEI BAIBAL (Revised) (BSI),,Rongmei Naga,Rongmei Naga,,
1805,NDV,NDV,Ngudradrekai Bible,Ngudradreadrekadhane Ka Sisiu 魯凱語聖經,,Rukai,Ngudradrekai,0,
2944,RUN1967,RUN1967,"Bibliya Yera 1951, 1967 (Burundi)","Bibliya Yera 1951, 1967 (Burundi)",rn,Rundi,Ikirundi,0,1
2869,LAILOE,LAILOE,The Old and New Testament in Today's Saluan Version,KITAB NU TUMPU ALLA LELE MA'IMAI',,Saluan,Saluan,,
2203,SOV,SOV,Samoan Old Version Bible,O LE TUSI PAIA,sm,Samoan,Gagana fa'a Sāmoa,1,1
2894,SXN,SXN,Old and New Testament in Today's Sangir Version,BINOHẸ SUSI BAL᷊O MAPIA,,Sangir,Sangir,0,
3184,PLT,PLT,Old and New Testament in Today's Taghul᷊andang Version,BUKI SUSI Wahasa ngu Taghul᷊andang l᷊ou-l᷊ou,,Sangir,Sangir,0,
1531,ABG1992,ABG1992,Scots Gaelic Bible 1992,Am Bìoball Gàidhlig 1992,gd,Scots Gaelic,Gàidhlig,1,1
1747,ABIG,ABIG,"Scots Gaelic Reference Bible 1880, 1992","Am Bìoball Iomraidh Gàidhlig 1880, 1992",gd,Scots Gaelic,Gàidhlig,1,1
202,SB-ERV,SB-ERV,Holy Bible: Easy-to-Read Translation,Библија: Савремени српски превод,sr,Serbian,Српски Srpski,4,1
1969,NSTL,NSPL,New Serbian Translation Latin 2017,Novi srpski prevod,sr,Serbian,Српски Srpski,4,1
1970,NST,NSP,New Serbian Translation - Cyrillic,Нови српски превод,sr,Serbian,Српски Srpski,4,1
2165,srp1865,SRP1865,Serbian Bible,Sveta Biblija,sr,Serbian,Српски Srpski,4,1
4648,srp1868,DK,"The Holy Bible in Serbian, DK translation, Cyrillic",Свето писмо или Библија Превод Даничић-Караџић,sr,Serbian,Српски Srpski,4,1
185,TSW70,TSW70,Setswana 1970,Setswana 1970,tn,Setswana,Sechuana,2,1
278,TSW08NO,TSW08NO,SetswanaTswana 1908/1992,BAEBELE e e Boitshepo,tn,Setswana,Sechuana,2,1
2608,TSN1890,TSN1890,Sechuana Tlhaping Moffatt Bible 1890,Bibela ea Boitsépho 1890 (Sechuana Tlhaping - Moffatt Bible),tn,Setswana,Sechuana,2,1
3912,CTWB24,CTWB24,Contemporary Tswana Bible 2024,Contemporary Tswana Bible 2024,tn,Setswana,Sechuana,2,1
32,SCB,BDSC,Shona Contemporary Bible,Bhaibheri Dzvene MuChiShona Chanhasi,sn,Shona,chiShona,1,1
1931,SUB1949,SUB1949,Original Shona Union Bible 1949 (Doke Orthography),Baiberi Magwaro Matȿene aMŋari 1949 (Doke),sn,Shona,chiShona,1,1
1960,SNA2002,SNA2002,"Shona Bible 1949, revised 2002","Shona Bible 1949, revised 2002",sn,Shona,chiShona,1,1
4046,SUB,SUB,Shona Bible Union Version 2002,Shona BIBLE,sn,Shona,chiShona,1,1
2907,Wul,Wul,Old and New Testament in Ngalik Language,Allah Iak 'Belak Naduk A'ge emin Pobuk A'ge Emin Wusogo Wogenebegei Wene,,Silimo,Silimo,,
3316,SB62,SB62,Sindhi Bible NT,Sindhi Bible NT,sd,Sindhi,سنڌي,1,1
3265,SCV,SCV,Sinhala Contemporary Version 2025,සිංහල කාලීන පරිවර්තනය,si,Sinhala,සිංහල,0,1
2553,SIS,SIS,Sisaala Bible,WƖA TENIŊ,,"Sisaala, Tumulung","Sisaala, Tumulung",0,
615,SIPB,SIPB,Solomon Islands Pijin Bible,Pijin Bible,,Solomon Islands Pidgin,Pijin,,
4380,SIPB,SIPB,Solomon Islands Pijin Bible,La Bible en Lifou,,Solomon Islands Pidgin,Pijin,,
87,SOM08,SOM08,Somali Bible,Kitaabka Quduuska Ah,so,Somali,Soomaali,1,1
2934,SOMBIBLE,SOMBIBLE,SOMALI BIBLE  PROTESTANT EDITION,KITAABKA QUDUUSKA AH,so,Somali,Soomaali,1,1
124,NSO51,NSO51,Northern Sotho 1951/1986,BIBELE,,"Sotho, Northern",Sesotho sa Leboa,1,
256,NSO00,NSO00,Northern Sotho 2000,BIBELE Taba yea Botse,,"Sotho, Northern",Sesotho sa Leboa,1,
3854,CSEB24,CSEB24,Contemporary Sepedi Nothern Sotho Bible 2024,Contemporary Sepedi Nothern Sotho Bible 2024,,"Sotho, Northern",Sesotho sa Leboa,1,1
450,SND12,SND12,IsiNdebele 2012 Translation,IsiNdebele 2012 Translation,nr,South Ndebele,isiNdebele,0,
290,qxo,qxo,Bible in Quechua of South Conchucos,Biblia en Quechua del sur de Conchucos,,Southern Conchucos Ancash Quechua,Quechua Southern Conchucos Ancash,1,
1872,REGSBSI,REGSBSI,Rengma Naga (S) CL Bible (BSI),KENSHÜN LESÜ Naga (S) CL Bible (BSI),,Southern Rengma Naga,Rengma Naga,,
273,SSO61-SO,SSO61-SO,Sesotho 1909/1961 (SO),Sesotho 1909/1961 (SO),st,Southern Sotho,Sesotho,1,1
274,SSO89SO,SSO89SO,Sesotho 1989 Translation (Standard Orth),BIBELE,st,Southern Sotho,Sesotho,1,1
3845,CSOB24,CSOB24,Contemporary Southern Sotho Bible 2024,Contemporary Southern Sotho Bible 2024,st,Southern Sotho,Sesotho,1,1
89,LBLA,LBLA,La Biblia de las Américas,La Biblia de las Américas,es,Spanish,Español (América Latina),5,1
103,NBLA,NBLA,Nueva Biblia de las Américas,Nueva Biblia de las Américas,es,Spanish,Español (América Latina),5,1
127,NTV,NTV,Nueva Traducción Viviente,Nueva Traducción Viviente,es,Spanish,Español (América Latina),5,1
128,NVI-S,NVI,Nueva Versión Internacional 2025,Nueva Versión Internacional - Español,es,Spanish,Español (América Latina),5,1
